symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HDFCBANK,INE040A01034,2025-12-01,NSE,EQ,EQ,buy,false,2.000000,1007.599976,202281265,1100000000039818,2025-12-01T09:00:03
BHARTIARTL,INE397D01024,2025-12-01,NSE,EQ,EQ,buy,false,1.000000,2101.600098,486641,1000000000045702,2025-12-01T09:00:06
BHARTIARTL,INE397D01024,2025-12-01,NSE,EQ,EQ,sell,false,1.000000,2093.600098,2496712,1000000023273518,2025-12-01T11:47:01
HDFCBANK,INE040A01034,2025-12-01,NSE,EQ,EQ,sell,false,2.000000,1003.000000,203861499,1100000030961061,2025-12-01T11:47:08
KOTAKBANK,INE237A01028,2025-12-01,NSE,EQ,EQ,buy,false,1.000000,2154.899902,403195089,1200000029547880,2025-12-01T11:47:16
ICICIBANK,INE090A01021,2025-12-01,NSE,EQ,EQ,buy,false,1.000000,1390.900024,203866367,1100000031003534,2025-12-01T11:47:22
GOLDBEES,INF204KB17I5,2025-12-01,NSE,EQ,EQ,buy,false,13.000000,106.400002,203950463,1100000031712155,2025-12-01T11:51:46
INFY,INE009A01021,2025-12-05,NSE,EQ,EQ,buy,false,3.000000,1622.800049,202843761,1100000026301057,2025-12-05T10:58:23
KOTAKBANK,INE237A01028,2025-12-05,BSE,EQ,A,sell,false,1.000000,2141.399902,2948100,1764911047214467064,2025-12-05T11:00:40
BAJFINANCE,INE296A01032,2025-12-05,NSE,EQ,EQ,buy,false,3.000000,1056.599976,1985153,1000000021337616,2025-12-05T11:07:09
INFY,INE009A01021,2025-12-05,NSE,EQ,EQ,sell,false,3.000000,1615.800049,208150943,1100000069081584,2025-12-05T15:20:24
BAJFINANCE,INE296A01032,2025-12-12,NSE,EQ,EQ,sell,false,3.000000,1018.000000,415944,1000000004347370,2025-12-12T09:29:17
WIPRO,INE075A01022,2025-12-12,NSE,EQ,EQ,buy,false,7.000000,258.000000,600673429,1300000005936189,2025-12-12T09:29:25
AXISBANK,INE238A01034,2025-12-12,NSE,EQ,EQ,buy,false,1.000000,1288.199951,477629,1000000005220996,2025-12-12T09:33:34
AXISBANK,INE238A01034,2025-12-12,NSE,EQ,EQ,buy,false,1.000000,1287.500000,659698,1000000007200564,2025-12-12T09:44:31
GOLDBEES,INF204KB17I5,2025-12-12,NSE,EQ,EQ,sell,false,13.000000,109.550003,206532162,1100000060806716,2025-12-12T14:46:36
IOC,INE242A01010,2025-12-15,NSE,EQ,EQ,buy,false,11.000000,166.300003,202882823,1100000025595596,2025-12-15T11:03:56
AXISBANK,INE238A01034,2025-12-15,BSE,EQ,A,sell,false,2.000000,1283.150024,2654700,1765777674061201923,2025-12-15T11:34:56
ICICIBANK,INE090A01021,2025-12-15,BSE,EQ,A,sell,false,1.000000,1365.099976,3560000,1765776868003511514,2025-12-15T11:35:03
GOLDBEES,INF204KB17I5,2025-12-15,NSE,EQ,EQ,buy,false,13.000000,110.669998,203431142,1100000030477223,2025-12-15T11:36:17
GODREJCP,INE102D01028,2025-12-16,NSE,EQ,EQ,buy,false,1.000000,1192.000000,200965103,1100000007977037,2025-12-16T09:37:34
MTNL,INE153A01019,2025-12-16,NSE,EQ,EQ,buy,false,24.000000,37.419998,401067345,1200000009531687,2025-12-16T09:44:27
WIPRO,INE075A01022,2025-12-23,NSE,EQ,EQ,sell,false,7.000000,270.890015,601382236,1300000011475223,2025-12-23T09:53:04
GOLDBEES,INF204KB17I5,2025-12-23,NSE,EQ,EQ,sell,false,13.000000,113.320000,201660688,1100000013966611,2025-12-23T09:53:08
GODREJCP,INE102D01028,2025-12-23,NSE,EQ,EQ,sell,false,1.000000,1195.000000,201664171,1100000014001347,2025-12-23T09:53:16
COALINDIA,INE522F01014,2025-12-23,NSE,EQ,EQ,buy,false,11.000000,397.799988,1283385,1000000011899485,2025-12-23T09:57:49
TATASTEEL,INE081A01020,2025-12-29,NSE,EQ,EQ,buy,false,58.000000,172.179993,607447099,1300000057687577,2025-12-29T14:08:30
NTPC,INE733E01010,2025-12-29,NSE,EQ,EQ,buy,false,12.000000,325.049988,405551796,1200000058541005,2025-12-29T14:37:29
BPCL,INE029A01011,2025-12-29,NSE,EQ,EQ,buy,false,1.000000,369.850006,4155048,1000000044355771,2025-12-29T14:37:35
BPCL,INE029A01011,2025-12-29,NSE,EQ,EQ,buy,false,9.000000,370.000000,4155049,1000000044355771,2025-12-29T14:37:35
MTNL,INE153A01019,2025-12-30,NSE,EQ,EQ,sell,false,24.000000,35.500000,404341433,1200000045213846,2025-12-30T12:49:45
TATASTEEL,INE081A01020,2025-12-31,NSE,EQ,EQ,sell,false,29.000000,180.330002,600035023,1300000000275567,2025-12-31T09:15:01
RECLTD,INE020B01018,2025-12-31,NSE,EQ,EQ,buy,false,17.000000,360.250000,602766641,1300000023466826,2025-12-31T11:03:27
RECLTD,INE020B01018,2025-12-31,NSE,EQ,EQ,sell,false,8.000000,360.100006,604003108,1300000033987668,2025-12-31T12:11:58
SAIL,INE114A01011,2025-12-31,NSE,EQ,EQ,buy,false,22.000000,147.639999,604008880,1300000034044628,2025-12-31T12:12:24
RECLTD,INE020B01018,2025-12-31,NSE,EQ,EQ,sell,false,1.000000,358.750000,605767775,1300000050143273,2025-12-31T14:10:26
SAIL,INE114A01011,2025-12-31,NSE,EQ,EQ,sell,false,22.000000,148.710007,605791995,1300000050374592,2025-12-31T14:11:54
TATASTEEL,INE081A01020,2026-01-01,NSE,EQ,EQ,sell,false,29.000000,182.000000,605527425,1300000056534242,2026-01-01T15:23:19
HINDALCO,INE038A01020,2026-01-02,NSE,EQ,EQ,buy,false,9.000000,909.150024,201998393,1100000014931374,2026-01-02T09:56:05
RECLTD,INE020B01018,2026-01-02,NSE,EQ,EQ,sell,false,4.000000,382.899994,602584843,1300000021397525,2026-01-02T10:51:26
NTPC,INE733E01010,2026-01-02,NSE,EQ,EQ,sell,false,1.000000,344.200012,402474449,1200000023075010,2026-01-02T10:51:31
